id,project_a,project_b,weight_a,weight_b
2,prettier-plugin-solidity,hardhat,0.10166851950,0.89833148050
3,prettier-plugin-solidity,teku,0.66944575473,0.33055424527
4,prettier-plugin-solidity,solidity,0.44902172113,0.55097827887
5,prettier-plugin-solidity,remix-project,0.49839639443,0.50160360557
6,prettier-plugin-solidity,go-ethereum,0.27250272366,0.72749727635
7,prettier-plugin-solidity,lodestar,0.29091816311,0.70908183689
9,prettier-plugin-solidity,openzeppelin-contracts,0.36277160654,0.63722839346
10,prettier-plugin-solidity,account-abstraction,0.34421922095,0.65578077905
11,prettier-plugin-solidity,go-ipa,0.71718625550,0.28281374450
12,prettier-plugin-solidity,go-libp2p,0.23709751360,0.76290248640
14,prettier-plugin-solidity,core,0.54448608300,0.45551391700
16,prysm,ethers.js,0.50142507311,0.49857492689
17,prysm,hardhat,0.68306836544,0.31693163456
19,prysm,prettier-plugin-solidity,0.94121853588,0.05878146412
20,prysm,solidity,0.99995624210,0.00004375790
21,prysm,remix-project,0.99995624210,0.00004375790
22,prysm,go-ethereum,0.76495807570,0.23504192430
24,prysm,revm,0.99918002540,0.00081997460
25,prysm,openzeppelin-contracts,0.92951415195,0.07048584805
28,lighthouse,hardhat,0.65388466552,0.34611533448
29,lighthouse,teku,0.94084263926,0.05915736074
35,lighthouse,revm,0.77814665450,0.22185334550
36,lighthouse,openzeppelin-contracts,0.66091121186,0.33908878814
37,lighthouse,solhint,0.93131616667,0.06868383333
38,lighthouse,js-ipfs,0.70437322525,0.29562677475
39,lighthouse,account-abstraction,0.57870404113,0.42129595887
40,lighthouse,safe-smart-account,0.58047178680,0.41952821320
41,lighthouse,go-ipa,0.89445634070,0.10554365930
42,lighthouse,go-libp2p,0.38322592570,0.61677407430
43,lighthouse,reth,0.56547080695,0.43452919305
47,lighthouse,erigon,0.50000000000,0.50000000000
48,lighthouse,grandine,0.52527829830,0.47472170170
50,walletconnect-monorepo,prysm,0.29435869392,0.70564130608
51,walletconnect-monorepo,ethers.js,0.33171687205,0.66828312795
54,walletconnect-monorepo,vyper,0.58751317499,0.41248682501
55,walletconnect-monorepo,teku,0.89823233521,0.10176766479
56,walletconnect-monorepo,prettier-plugin-solidity,0.69208471138,0.30791528862
58,walletconnect-monorepo,remix-project,0.99995892720,0.00004107280
61,walletconnect-monorepo,revm,0.00943396226,0.99056603774
62,walletconnect-monorepo,go-minisign,0.00188679245,0.99811320755
63,walletconnect-monorepo,levelup,0.01098901099,0.98901098901
65,walletconnect-monorepo,prettier,0.00010790979,0.99989209021
66,walletconnect-monorepo,js-crc32,0.02631578947,0.97368421053
67,walletconnect-monorepo,webrtc,0.00277008310,0.99722991690
69,walletconnect-monorepo,postcss,0.00106269926,0.99893730074
72,walletconnect-monorepo,babel,0.00001380000,0.99998620000
73,walletconnect-monorepo,vue,0.00005140000,0.99994860000
75,walletconnect-monorepo,ajv,0.00041373604,0.99958626396
76,walletconnect-monorepo,cssnano,0.00151285930,0.99848714070
78,walletconnect-monorepo,mocha,0.00021463833,0.99978536167
79,walletconnect-monorepo,slim-sprig,0.00366300366,0.99633699634
80,walletconnect-monorepo,tokio,0.00005110000,0.99994890000
82,walletconnect-monorepo,react,0.01315789474,0.98684210526
83,walletconnect-monorepo,node-fetch,0.00609756098,0.99390243902
84,walletconnect-monorepo,eslint-plugin-import,0.00277008310,0.99722991690
85,walletconnect-monorepo,readline,0.10000000000,0.90000000000
86,walletconnect-monorepo,cmd-shim,0.00038211693,0.99961788307
87,walletconnect-monorepo,electron,0.00111111111,0.99888888889
90,walletconnect-monorepo,browserslist,0.00100401606,0.99899598394
91,walletconnect-monorepo,debug,0.00196078431,0.99803921569
92,walletconnect-monorepo,immer,0.00305810398,0.99694189602
93,walletconnect-monorepo,type-fest,0.00004180000,0.99995820000
95,walletconnect-monorepo,colors.js,0.00008580000,0.99991420000
96,walletconnect-monorepo,axios,0.00047709924,0.99952290076
98,walletconnect-monorepo,dotenv,0.03225806452,0.96774193548
99,walletconnect-monorepo,cspell,0.05555555556,0.94444444444
100,walletconnect-monorepo,eslint,0.00001650000,0.99998350000
101,walletconnect-monorepo,floating-ui,0.00044286980,0.99955713020
102,walletconnect-monorepo,boa,0.16666666670,0.83333333330
104,hardhat,ethers.js,0.28480116486,0.71519883514
106,hardhat,solidity,0.69936673380,0.30063326620
107,hardhat,remix-project,0.76497007510,0.23502992490
108,hardhat,go-ethereum,0.49585948913,0.50414051087
