id,project_a,project_b,weight_a,weight_b
2,prettier-solidity/prettier-plugin-solidity,nomicfoundation/hardhat,0.10166851950,0.89833148050
3,prettier-solidity/prettier-plugin-solidity,consensys/teku,0.66944575473,0.33055424527
4,prettier-solidity/prettier-plugin-solidity,ethereum/solidity,0.44902172113,0.55097827887
5,prettier-solidity/prettier-plugin-solidity,ethereum/remix-project,0.49839639443,0.50160360557
6,prettier-solidity/prettier-plugin-solidity,ethereum/go-ethereum,0.27250272366,0.72749727634
7,prettier-solidity/prettier-plugin-solidity,chainsafe/lodestar,0.29091816311,0.70908183689
9,prettier-solidity/prettier-plugin-solidity,openzeppelin/openzeppelin-contracts,0.36277160654,0.63722839346
10,prettier-solidity/prettier-plugin-solidity,eth-infinitism/account-abstraction,0.34421922095,0.65578077905
11,prettier-solidity/prettier-plugin-solidity,crate-crypto/go-ipa,0.71718625550,0.28281374450
12,prettier-solidity/prettier-plugin-solidity,libp2p/go-libp2p,0.23709751360,0.76290248640
14,prettier-solidity/prettier-plugin-solidity,alloy-rs/core,0.54448608300,0.45551391700
16,prysmaticlabs/prysm,ethers-io/ethers.js,0.50142507311,0.49857492689
17,prysmaticlabs/prysm,nomicfoundation/hardhat,0.68306836544,0.31693163456
19,prysmaticlabs/prysm,prettier-solidity/prettier-plugin-solidity,0.94121853588,0.05878146412
20,prysmaticlabs/prysm,ethereum/solidity,0.99995624210,0.00004375790
21,prysmaticlabs/prysm,ethereum/remix-project,0.99995624210,0.00004375790
22,prysmaticlabs/prysm,ethereum/go-ethereum,0.76495807570,0.23504192430
24,prysmaticlabs/prysm,bluealloy/revm,0.99918002540,0.00081997460
25,prysmaticlabs/prysm,openzeppelin/openzeppelin-contracts,0.92951415195,0.07048584805
28,sigp/lighthouse,nomicfoundation/hardhat,0.65388466552,0.34611533448
29,sigp/lighthouse,consensys/teku,0.94084263926,0.05915736074
35,sigp/lighthouse,bluealloy/revm,0.77814665450,0.22185334550
36,sigp/lighthouse,openzeppelin/openzeppelin-contracts,0.66091121186,0.33908878814
37,sigp/lighthouse,protofire/solhint,0.93131616667,0.06868383333
38,sigp/lighthouse,ipfs/js-ipfs,0.70437322525,0.29562677475
39,sigp/lighthouse,eth-infinitism/account-abstraction,0.57870404113,0.42129595887
40,sigp/lighthouse,safe-global/safe-smart-account,0.58047178680,0.41952821320
41,sigp/lighthouse,crate-crypto/go-ipa,0.89445634070,0.10554365930
42,sigp/lighthouse,libp2p/go-libp2p,0.38322592570,0.61677407430
43,sigp/lighthouse,paradigmxyz/reth,0.56547080695,0.43452919305
47,sigp/lighthouse,erigontech/erigon,0.50000000000,0.50000000000
48,sigp/lighthouse,grandinetech/grandine,0.52527829830,0.47472170170
