id,project_a,project_b
1,Prettier plugin for Solidity formatting  supporting latest Prettier & Node.js with continuous improvements.,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.
8,Prettier plugin for Solidity formatting  supporting latest Prettier & Node.js with continuous improvements.,High-performance  modular Ethereum Virtual Machine (EVM) in Rust supporting EIPs and L2s like Optimism.
13,Prettier plugin for Solidity formatting  supporting latest Prettier & Node.js with continuous improvements.,Reth: Rust Ethereum execution client featuring Alloy integration  a new engine API  and Optimism support.
15,Prettier plugin for Solidity formatting  supporting latest Prettier & Node.js with continuous improvements.,JavaScript IPFS client with ESM  gRPC  TypeScript  and enhanced API for interacting with IPFS nodes.
18,Prysm: Go Ethereum consensus client implementing proof-of-stake  sharding  and supporting Eth2 upgrades.,Java Ethereum client Teku supports Beacon Chain  validator functions  and Deneb/EIP-4844 upgrade.
23,Prysm: Go Ethereum consensus client implementing proof-of-stake  sharding  and supporting Eth2 upgrades.,Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra  Deneb).
26,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Prysm: Go Ethereum consensus client implementing proof-of-stake  sharding  and supporting Eth2 upgrades.
27,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.
30,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Prettier plugin for Solidity formatting  supporting latest Prettier & Node.js with continuous improvements.
31,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.
32,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Remix IDE: Browser-based Solidity/Vyper/Circom IDE with AI features  contract verification  and enhanced UI/UX.
33,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.
34,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra  Deneb).
44,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Rust Ethereum 'core' provides Solidity macro  dynamic ABI  primitives  and EIP-712 support.
45,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Monorepo for the Ethereum VM TypeScript Implementation
46,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Go QUIC implementation: performance-optimized  secure  HTTP/3 support  using standard library TLS & generics.
49,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Solidity (solc-js): JavaScript compiler wrapper with TypeScript  Standard JSON I/O  and SMT solver integration.
52,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.
53,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Hardhat: Ethereum development environment with Ignition deployments  EDR execution  and pnpm.
57,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.
59,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.
60,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra  Deneb).
