id,project_a,project_b
1,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethers-io/ethers.js
8,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/bluealloy/revm
13,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/paradigmxyz/reth
15,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ipfs/js-ipfs
18,https://github.com/prysmaticlabs/prysm,https://github.com/consensys/teku
23,https://github.com/prysmaticlabs/prysm,https://github.com/chainsafe/lodestar
26,https://github.com/sigp/lighthouse,https://github.com/prysmaticlabs/prysm
27,https://github.com/sigp/lighthouse,https://github.com/ethers-io/ethers.js
30,https://github.com/sigp/lighthouse,https://github.com/prettier-solidity/prettier-plugin-solidity
31,https://github.com/sigp/lighthouse,https://github.com/ethereum/solidity
32,https://github.com/sigp/lighthouse,https://github.com/ethereum/remix-project
33,https://github.com/sigp/lighthouse,https://github.com/ethereum/go-ethereum
34,https://github.com/sigp/lighthouse,https://github.com/chainsafe/lodestar
44,https://github.com/sigp/lighthouse,https://github.com/alloy-rs/core
45,https://github.com/sigp/lighthouse,https://github.com/ethereumjs/ethereumjs-monorepo
46,https://github.com/sigp/lighthouse,https://github.com/quic-go/quic-go
49,https://github.com/sigp/lighthouse,https://github.com/ethereum/solc-js
52,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/sigp/lighthouse
53,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/nomicfoundation/hardhat
57,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethereum/solidity
59,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethereum/go-ethereum
60,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/chainsafe/lodestar
64,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/mikemcl/bignumber.js
68,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/redux-saga/redux-saga
70,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/vercel/swr
71,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/pytest-dev/pytest
74,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/emotion-js/emotion
77,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/clap-rs/clap
81,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/swc-project/swc
88,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/gulpjs/gulp
89,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/typescript-eslint/typescript-eslint
94,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/rollup/rollup
97,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/heim-rs/darwin-libproc
103,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/humanwhocodes/object-schema
105,https://github.com/nomicfoundation/hardhat,https://github.com/consensys/teku
109,https://github.com/nomicfoundation/hardhat,https://github.com/chainsafe/lodestar
110,https://github.com/nomicfoundation/hardhat,https://github.com/bluealloy/revm
112,https://github.com/nomicfoundation/hardhat,https://github.com/alloy-rs/core
121,https://github.com/vyperlang/vyper,https://github.com/prettier-solidity/prettier-plugin-solidity
125,https://github.com/vyperlang/vyper,https://github.com/chainsafe/lodestar
135,https://github.com/vyperlang/vyper,https://github.com/paradigmxyz/reth
136,https://github.com/vyperlang/vyper,https://github.com/alloy-rs/core
140,https://github.com/vyperlang/vyper,https://github.com/erigontech/erigon
142,https://github.com/vyperlang/vyper,https://github.com/ethereum/solc-js
145,https://github.com/wighawag/hardhat-deploy,https://github.com/walletconnect/walletconnect-monorepo
150,https://github.com/wighawag/hardhat-deploy,https://github.com/prettier-solidity/prettier-plugin-solidity
153,https://github.com/wighawag/hardhat-deploy,https://github.com/ethereum/go-ethereum
158,https://github.com/wighawag/hardhat-deploy,https://github.com/protofire/solhint
163,https://github.com/wighawag/hardhat-deploy,https://github.com/eth-infinitism/account-abstraction
167,https://github.com/wighawag/hardhat-deploy,https://github.com/paradigmxyz/reth
169,https://github.com/ethers-io/ethers.js,https://github.com/consensys/teku
171,https://github.com/ethers-io/ethers.js,https://github.com/ethereum/remix-project
174,https://github.com/ethers-io/ethers.js,https://github.com/bluealloy/revm
175,https://github.com/ethers-io/ethers.js,https://github.com/axios/axios
176,https://github.com/ethers-io/ethers.js,https://github.com/browserslist/browserslist
177,https://github.com/ethers-io/ethers.js,https://github.com/epoberezkin/fast-deep-equal
178,https://github.com/ethers-io/ethers.js,https://github.com/cssnano/cssnano
179,https://github.com/ethers-io/ethers.js,https://github.com/emotion-js/emotion
180,https://github.com/ethers-io/ethers.js,https://github.com/eslint/eslint
184,https://github.com/ethers-io/ethers.js,https://github.com/chzyer/readline
185,https://github.com/ethers-io/ethers.js,https://github.com/electron/electron
188,https://github.com/ethers-io/ethers.js,https://github.com/dcodeio/long.js
189,https://github.com/ethers-io/ethers.js,https://github.com/eth-infinitism/account-abstraction
193,https://github.com/ethereum/solidity,https://github.com/ethereum/go-ethereum
195,https://github.com/ethereum/solidity,https://github.com/chainsafe/lodestar
196,https://github.com/ethereum/solidity,https://github.com/eth-infinitism/account-abstraction
197,https://github.com/ethereum/solidity,https://github.com/crate-crypto/go-ipa
200,https://github.com/ethereum/solidity,https://github.com/erigontech/erigon
204,https://github.com/ethereum/remix-project,https://github.com/chainsafe/lodestar
209,https://github.com/ethereum/go-ethereum,https://github.com/consensys/teku
211,https://github.com/ethereum/go-ethereum,https://github.com/bluealloy/revm
212,https://github.com/ethereum/go-ethereum,https://github.com/eth-infinitism/account-abstraction
215,https://github.com/ethereum/go-ethereum,https://github.com/erigontech/erigon
219,https://github.com/wevm/viem,https://github.com/prysmaticlabs/prysm
220,https://github.com/wevm/viem,https://github.com/walletconnect/walletconnect-monorepo
221,https://github.com/wevm/viem,https://github.com/prettier-solidity/prettier-plugin-solidity
222,https://github.com/wevm/viem,https://github.com/vyperlang/vyper
227,https://github.com/wevm/viem,https://github.com/bluealloy/revm
228,https://github.com/wevm/viem,https://github.com/consensys/teku
230,https://github.com/wevm/viem,https://github.com/protofire/solhint
232,https://github.com/wevm/viem,https://github.com/web3/web3.js
234,https://github.com/wevm/viem,https://github.com/ipfs/js-ipfs
239,https://github.com/wevm/viem,https://github.com/crate-crypto/go-ipa
240,https://github.com/wevm/viem,https://github.com/libp2p/go-libp2p
241,https://github.com/wevm/viem,https://github.com/paradigmxyz/reth
247,https://github.com/openzeppelin/openzeppelin-contracts,https://github.com/bluealloy/revm
248,https://github.com/openzeppelin/openzeppelin-contracts,https://github.com/nomicfoundation/hardhat
252,https://github.com/openzeppelin/openzeppelin-contracts,https://github.com/ethereum/remix-project
255,https://github.com/openzeppelin/openzeppelin-contracts,https://github.com/crate-crypto/go-ipa
257,https://github.com/openzeppelin/openzeppelin-contracts,https://github.com/alloy-rs/core
258,https://github.com/protofire/solhint,https://github.com/ethers-io/ethers.js
260,https://github.com/protofire/solhint,https://github.com/openzeppelin/openzeppelin-contracts
264,https://github.com/protofire/solhint,https://github.com/prettier-solidity/prettier-plugin-solidity
267,https://github.com/protofire/solhint,https://github.com/ethereum/go-ethereum
271,https://github.com/protofire/solhint,https://github.com/alloy-rs/core
273,https://github.com/protofire/solhint,https://github.com/ipfs/js-ipfs
275,https://github.com/web3/web3.js,https://github.com/openzeppelin/openzeppelin-contracts
277,https://github.com/web3/web3.js,https://github.com/ethereum/solidity
279,https://github.com/web3/web3.js,https://github.com/sigp/lighthouse
280,https://github.com/web3/web3.js,https://github.com/ethereum/remix-project
283,https://github.com/web3/web3.js,https://github.com/nomicfoundation/hardhat
284,https://github.com/web3/web3.js,https://github.com/supranational/blst
289,https://github.com/web3/web3.js,https://github.com/vyperlang/vyper
290,https://github.com/web3/web3.js,https://github.com/status-im/nimbus-eth2
292,https://github.com/web3/web3.js,https://github.com/bluealloy/revm
296,https://github.com/ipfs/js-ipfs,https://github.com/chainsafe/lodestar
297,https://github.com/ipfs/js-ipfs,https://github.com/ethereum/solidity
299,https://github.com/ipfs/js-ipfs,https://github.com/ethereum/remix-project
300,https://github.com/ipfs/js-ipfs,https://github.com/alloy-rs/core
310,https://github.com/mochajs/mocha,https://github.com/mikemcl/bignumber.js
314,https://github.com/mochajs/mocha,https://github.com/emotion-js/emotion
315,https://github.com/mochajs/mocha,https://github.com/coinbase/coinbase-wallet-sdk
316,https://github.com/mochajs/mocha,https://github.com/bradfitz/iter
319,https://github.com/mochajs/mocha,https://github.com/mafintosh/pump
322,https://github.com/mochajs/mocha,https://github.com/heim-rs/darwin-libproc
323,https://github.com/mochajs/mocha,https://github.com/immerjs/immer
325,https://github.com/mochajs/mocha,https://github.com/lukeed/polka
326,https://github.com/mochajs/mocha,https://github.com/ajv-validator/ajv
332,https://github.com/mochajs/mocha,https://github.com/ljharb/qs
333,https://github.com/mochajs/mocha,https://github.com/epoberezkin/fast-deep-equal
344,https://github.com/mochajs/mocha,https://github.com/mmcloughlin/addchain
347,https://github.com/mochajs/mocha,https://github.com/biomejs/biome
351,https://github.com/gulpjs/gulp,https://github.com/debug-js/debug
352,https://github.com/gulpjs/gulp,https://github.com/babel/babel
355,https://github.com/gulpjs/gulp,https://github.com/gregberge/svgr
359,https://github.com/gulpjs/gulp,https://github.com/eslint/eslint
362,https://github.com/gulpjs/gulp,https://github.com/cssnano/cssnano
366,https://github.com/gulpjs/gulp,https://github.com/clap-rs/clap
367,https://github.com/gulpjs/gulp,https://github.com/fb55/entities
368,https://github.com/gulpjs/gulp,https://github.com/epoberezkin/fast-deep-equal
369,https://github.com/gulpjs/gulp,https://github.com/axios/axios
371,https://github.com/gulpjs/gulp,https://github.com/brooooooklyn/snappy
372,https://github.com/gulpjs/gulp,https://github.com/getsentry/sentry-javascript
388,https://github.com/webpack/webpack,https://github.com/reactivex/rxjs
394,https://github.com/webpack/webpack,https://github.com/gregberge/svgr
403,https://github.com/webpack/webpack,https://github.com/dcodeio/long.js
408,https://github.com/webpack/webpack,https://github.com/facebook/react
409,https://github.com/webpack/webpack,https://github.com/cssnano/cssnano
411,https://github.com/webpack/webpack,https://github.com/heim-rs/darwin-libproc
412,https://github.com/webpack/webpack,https://github.com/immerjs/immer
415,https://github.com/webpack/webpack,https://github.com/pytest-dev/pytest
416,https://github.com/webpack/webpack,https://github.com/motdotla/dotenv
417,https://github.com/webpack/webpack,https://github.com/pion/webrtc
421,https://github.com/webpack/webpack,https://github.com/browserslist/browserslist
423,https://github.com/webpack/webpack,https://github.com/node-fetch/node-fetch
424,https://github.com/webpack/webpack,https://github.com/mattn/go-isatty
431,https://github.com/webpack/webpack,https://github.com/axios/axios
433,https://github.com/webpack/webpack,https://github.com/numpy/numpy
434,https://github.com/webpack/webpack,https://github.com/vweevers/module-error
436,https://github.com/webpack/webpack,https://github.com/brooooooklyn/snappy
437,https://github.com/webpack/webpack,https://github.com/import-js/eslint-plugin-import
439,https://github.com/webpack/webpack,https://github.com/mysticatea/abort-controller
440,https://github.com/webpack/webpack,https://github.com/getsentry/sentry-javascript
443,https://github.com/webpack/webpack,https://github.com/streetsidesoftware/cspell
444,https://github.com/webpack/webpack,https://github.com/boa-dev/boa
450,https://github.com/webpack/webpack,https://github.com/mmcloughlin/addchain
451,https://github.com/webpack/webpack,https://github.com/kaelzhang/node-ignore
458,https://github.com/webpack/webpack,https://github.com/alexeyraspopov/picocolors
461,https://github.com/redux-saga/redux-saga,https://github.com/chzyer/readline
462,https://github.com/redux-saga/redux-saga,https://github.com/debug-js/debug
463,https://github.com/redux-saga/redux-saga,https://github.com/babel/babel
464,https://github.com/redux-saga/redux-saga,https://github.com/marak/colors.js
466,https://github.com/redux-saga/redux-saga,https://github.com/level/levelup
469,https://github.com/redux-saga/redux-saga,https://github.com/electron/electron
472,https://github.com/redux-saga/redux-saga,https://github.com/pnpm/cmd-shim
473,https://github.com/redux-saga/redux-saga,https://github.com/coinbase/coinbase-wallet-sdk
479,https://github.com/redux-saga/redux-saga,https://github.com/prettier/prettier
480,https://github.com/redux-saga/redux-saga,https://github.com/facebook/react
486,https://github.com/redux-saga/redux-saga,https://github.com/pytest-dev/pytest
487,https://github.com/redux-saga/redux-saga,https://github.com/motdotla/dotenv
491,https://github.com/redux-saga/redux-saga,https://github.com/mozilla/source-map
496,https://github.com/redux-saga/redux-saga,https://github.com/clap-rs/clap
499,https://github.com/redux-saga/redux-saga,https://github.com/epoberezkin/fast-deep-equal
502,https://github.com/redux-saga/redux-saga,https://github.com/colorjs/color-name
507,https://github.com/redux-saga/redux-saga,https://github.com/humanwhocodes/object-schema
508,https://github.com/redux-saga/redux-saga,https://github.com/boa-dev/boa
512,https://github.com/redux-saga/redux-saga,https://github.com/nodeca/js-yaml
